[2 0]
[0 2]
   5*alpha[0] + 7*alpha[1], 50
   5*alpha[0] + 4*alpha[1], 13
   alpha[0] + 2*alpha[1], 1
   4*alpha[0] + 10*alpha[1], 16
   8*alpha[0] + 3*alpha[1], 5
   6*alpha[0] + 4*alpha[1], 16
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 13
   9*alpha[0] + 6*alpha[1], 202
   11*alpha[0] + 3*alpha[1], 1
   2*alpha[0] + 6*alpha[1], 1
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 2
   3*alpha[0] + 4*alpha[1], 5
   6*alpha[0] + 9*alpha[1], 202
   9*alpha[0] + 5*alpha[1], 72
   5*alpha[0] + 10*alpha[1], 75
   4*alpha[0] + 6*alpha[1], 16
   10*alpha[0] + 5*alpha[1], 75
   4*alpha[0] + 7*alpha[1], 20
   5*alpha[0] + 3*alpha[1], 6
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 6
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 5
   3*alpha[0] + 10*alpha[1], 2
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 3
   3*alpha[0] + 7*alpha[1], 6
