[2 0]
[0 2]
   3*alpha[0] + 5*alpha[1], 4
   7*alpha[0] + 4*alpha[1], 9
   6*alpha[0] + 8*alpha[1], 73
   7*alpha[0] + 8*alpha[1], 162
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 4
   6*alpha[0] + 6*alpha[1], 39
   5*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 5*alpha[1], 23
   4*alpha[0] + 8*alpha[1], 6
   7*alpha[0] + 7*alpha[1], 107
   7*alpha[0] + 5*alpha[1], 27
   5*alpha[0] + 9*alpha[1], 23
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 6
   3*alpha[0] + 6*alpha[1], 3
   4*alpha[0] + 2*alpha[1], 1
   5*alpha[0] + 8*alpha[1], 27
   10*alpha[0] + 4*alpha[1], 1
   8*alpha[0] + 7*alpha[1], 162


[ 2 -4]
[-4  2]
   5*alpha[0] + 5*alpha[1], 23
   9*alpha[0] + 4*alpha[1], 20
   4*alpha[0] + 3*alpha[1], 5
